step,mean_correctness_reward
1,0.5
2,0.5
3,1.5
4,0.0
5,0.5
6,0.0
7,1.5
8,0.5
9,1.0
10,1.0
11,1.0
12,1.5
13,1.5
14,0.0
15,0.5
16,0.5
17,0.5
18,0.5
19,0.0
20,0.0
21,1.0
22,1.0
23,1.0
24,1.5
25,0.5
26,1.5
27,1.0
28,1.5
29,0.5
30,1.5
31,1.5
32,1.5
33,1.5
34,0.5
35,1.0
36,0.5
37,1.0
38,1.0
39,1.0
40,1.0
41,2.0
42,1.0
43,1.5
44,1.0
45,0.5
46,0.5
47,1.0
48,1.0
49,1.0
50,1.5
51,1.0
52,2.0
53,1.5
54,1.0
55,1.0
56,2.0
57,1.5
58,2.0
59,1.0
60,0.5
61,1.5
62,2.0
63,1.5
64,2.0
65,1.0
66,1.5
67,0.5
68,1.0
69,1.0
70,1.5
71,0.5
72,1.5
73,1.5
74,1.0
75,2.0
76,1.0
77,2.0
78,0.5
79,1.0
80,0.5
